"SEASON","WINNER","LOSER","SERIES","winner_name","loser_name","next_season"
"2017","Houston Astros","Los Angeles Dodgers","4-3","Astros","Dodgers",2018
"2016","Chicago Cubs","Cleveland Indians","4-3","Cubs","Indians",2017
"2015","Kansas City Royals","New York Mets","4-1","Royals","Mets",2016
"2014","San Francisco Giants","Kansas City Royals","4-3","Giants","Royals",2015
"2013","Boston Red Sox","St. Louis Cardinals","4-2","Red Sox","Cardinals",2014
"2012","San Francisco Giants","Detroit Tigers","4-0","Giants","Tigers",2013
"2011","St. Louis Cardinals","Texas Rangers","4-3","Cardinals","Rangers",2012
"2010","San Francisco Giants","Texas Rangers","4-1","Giants","Rangers",2011
"2009","New York Yankees","Philadelphia Phillies","4-2","Yankees","Phillies",2010
"2008","Philadelphia Phillies","Tampa Bay Rays","4-1","Phillies","Rays",2009
"2007","Boston Red Sox","Colorado Rockies","4-0","Red Sox","Rockies",2008
"2006","St. Louis Cardinals","Detroit Tigers","4-1","Cardinals","Tigers",2007
"2005","Chicago White Sox","Houston Astros","4-0","White Sox","Astros",2006
"2004","Boston Red Sox","St. Louis Cardinals","4-0","Red Sox","Cardinals",2005
"2003","Florida Marlins","New York Yankees","4-2","Marlins","Yankees",2004
"2002","Anaheim Angels","San Francisco Giants","4-3","Angels","Giants",2003
"2001","Arizona Diamondbacks","New York Yankees","4-3","Diamondbacks","Yankees",2002
"2000","New York Yankees","New York Mets","4-1","Yankees","Mets",2001
"1999","New York Yankees","Atlanta Braves","4-0","Yankees","Braves",2000
"1998","New York Yankees","San Diego Padres","4-0","Yankees","Padres",1999
"1997","Florida Marlins","Cleveland Indians","4-3","Marlins","Indians",1998
"1996","New York Yankees","Atlanta Braves","4-2","Yankees","Braves",1997
"1995","Atlanta Braves","Cleveland Indians","4-2","Braves","Indians",1996
"1993","Toronto Blue Jays","Philadelphia Phillies","4-2","Blue Jays","Phillies",1994
"1992","Toronto Blue Jays","Atlanta Braves","4-2","Blue Jays","Braves",1993
"1991","Minnesota Twins","Atlanta Braves","4-3","Twins","Braves",1992
"1990","Cincinnati Reds","Oakland Athletics","4-0","Reds","Athletics",1991
"1989","Oakland Athletics","San Francisco Giants","4-0","Athletics","Giants",1990
"1988","Los Angeles Dodgers","Oakland Athletics","4-1","Dodgers","Athletics",1989
"1987","Minnesota Twins","St. Louis Cardinals","4-3","Twins","Cardinals",1988
"1986","New York Mets","Boston Red Sox","4-3","Mets","Red Sox",1987
"1985","Kansas City Royals","St. Louis Cardinals","4-3","Royals","Cardinals",1986
